year,DH Dyn 2x3x [A],DH Dyn 2x3x [B],DH Dyn CAGR25+,A2 Optimized,Ens2(Asym+Slope),DD Only,BH 3x,BH 1x
1974,17.69353839766974,0.0,11.141745684336168,0.0,-42.75134999314306,-42.75134999314306,-75.75313336374201,-35.35069637253536
1975,1.8502276500693693,10.469987030252724,5.206122966712612,14.40942281560682,15.045992196686342,3.8294654972795383,105.53033714276138,29.755939485122028
1976,60.99439704602505,55.568761962726576,50.828803005147385,68.25772668916012,35.15468080259636,94.49722721229983,94.49722721229972,26.101511487960117
1977,8.88555361342589,7.284404967288061,6.948039762331115,2.5800310667303705,6.421800018873047,20.963159765313755,20.963159765313733,7.325302635634534
1978,64.08539340779052,57.81624953416451,64.3696279585937,61.05822073840994,48.22725675980139,14.236592682949523,34.84996661009494,12.308424208231571
1979,65.56668876645955,36.126722296100496,46.23950050341969,20.669307322048237,14.125897738490112,54.57980743804514,101.13609365956523,28.10645461672008
1980,71.25494612536689,28.409633370423414,56.481833063173404,77.24834783120376,62.45723151604474,48.06220196524136,119.75296381511744,33.87587490985759
1981,-13.741580476173787,-12.409232340356557,-9.593607940668491,-7.309568724104054,-18.813343606963773,-31.882173386503,-14.04947500313195,-3.2124148109600403
1982,112.84222424657693,74.11480415351951,65.45944354376792,82.39838912198256,77.31622899621777,87.83700771542568,57.444979688153786,18.673411329113755
1983,36.62720164869644,45.136067030105465,41.51055239708994,72.52954023677593,76.72532261801166,51.1419981811658,63.630640794752935,19.874360485790476
1984,-2.292685399486727,-3.1450357538578833,-2.2945684954682743,-4.6817229012826145,-6.810464264894545,-4.7418475735685135,-34.31571394391051,-11.30653241981625
1985,81.57584882730995,74.19046361080399,66.46476312475865,82.40836545452386,69.44848249424243,121.02206538435038,121.0220653843507,31.48522303152028
1986,46.2445495810641,33.23367893461979,34.87203422238021,28.86556068116617,34.49134747241705,18.808762582924253,18.808762582924455,7.3561078613008535
1987,22.08330846080009,9.801910822445015,22.311968784364833,13.233941416923267,4.1372327125347,-26.930580173746666,-31.906487561421848,-5.246556373161337
1988,-7.227926654340877,-3.193292137340553,-5.509604365913301,-4.009659602281069,-3.347406978547496,-5.901039116474072,47.83471504169352,15.400905900151285
1989,43.74092879513791,35.43976198481449,39.401045369368234,43.16231498727383,42.60029090095925,64.23018638851534,64.23018638851534,19.244885987072124
1990,-4.300385201176127,-6.82357742961921,-4.780037580080377,-12.174514268625513,-21.72093425855407,-46.36589594432232,-49.06110009135206,-17.810026855145832
1991,67.4382908006852,65.23804975020968,55.005179797343786,86.5292490512288,79.88556342204913,123.52861811884681,257.4041712079904,56.85929529778371
1992,35.56126336178136,33.21211489136877,29.710878626654626,45.57061958415698,22.451964881448696,45.002192007574,45.00219200757416,15.453487878629858
1993,11.215982929424694,3.8401506399273977,7.458021464130438,1.614640026870684,7.501021398028684,43.847351674615,43.847351674615,14.749977728045295
1994,-3.037898610112122,-2.2670958807558983,-0.7032439301531079,-0.8687537033379766,-0.9934599576893577,-13.64178266499546,-13.64178266499545,-3.1977299670091996
