CAGR,Sharpe,MaxDD,Vol,PosDay_pct,n_days,strategy,window_id,start_date,end_date,short_flag
0.385169,1.132088,-0.244366,0.339921,0.529880,252,E4-vzt065,2021,2021-01-04,2021-12-31,False
-0.261859,-1.622368,-0.328363,0.178091,0.464000,251,E4-vzt065,2022,2022-01-03,2022-12-30,False
1.063639,1.634877,-0.374683,0.531450,0.542169,250,E4-vzt065,2023,2023-01-03,2023-12-29,False
0.581816,1.116194,-0.271272,0.553977,0.561753,252,E4-vzt065,2024,2024-01-02,2024-12-31,False
0.654104,1.394980,-0.232208,0.428164,0.570281,250,E4-vzt065,2025,2025-01-02,2025-12-31,False
-0.422330,-1.222635,-0.178223,0.392983,0.438596,58,E4-vzt065,2026,2026-01-02,2026-03-26,True
-0.116885,-0.354037,-0.283683,0.258046,0.513944,252,E4-vzt070-REF,1977,1977-01-03,1977-12-30,False
1.502223,3.005549,-0.322824,0.324468,0.645418,252,E4-vzt070-REF,1978,1978-01-03,1978-12-29,False
0.207711,0.700279,-0.448736,0.382621,0.611111,253,E4-vzt070-REF,1979,1979-01-02,1979-12-31,False
0.820800,1.748697,-0.461278,0.387479,0.583333,253,E4-vzt070-REF,1980,1980-01-02,1980-12-31,False
-0.378956,-1.739694,-0.423483,0.255674,0.515873,253,E4-vzt070-REF,1981,1981-01-02,1981-12-31,False
0.986147,2.035810,-0.214247,0.372165,0.567460,253,E4-vzt070-REF,1982,1982-01-04,1982-12-31,False
0.092032,0.450259,-0.381938,0.296503,0.563492,253,E4-vzt070-REF,1983,1983-01-03,1983-12-30,False
-0.193198,-0.735179,-0.291191,0.251531,0.432540,253,E4-vzt070-REF,1984,1984-01-03,1984-12-31,False
1.739548,3.263572,-0.287933,0.326835,0.585657,252,E4-vzt070-REF,1985,1985-01-02,1985-12-31,False
0.524587,1.227329,-0.425324,0.418352,0.567460,253,E4-vzt070-REF,1986,1986-01-02,1986-12-31,False
0.714931,1.774659,-0.284407,0.337684,0.567460,253,E4-vzt070-REF,1987,1987-01-02,1987-12-31,False
-0.255274,-1.001321,-0.332820,0.260953,0.484127,253,E4-vzt070-REF,1988,1988-01-04,1988-12-30,False
0.639263,1.538896,-0.231651,0.367589,0.605578,252,E4-vzt070-REF,1989,1989-01-03,1989-12-29,False
-0.404136,-1.129278,-0.520470,0.390873,0.496032,253,E4-vzt070-REF,1990,1990-01-02,1990-12-31,False
0.831279,1.501134,-0.357822,0.483873,0.575397,253,E4-vzt070-REF,1991,1991-01-02,1991-12-31,False
0.618466,1.475574,-0.281543,0.375078,0.525692,254,E4-vzt070-REF,1992,1992-01-02,1992-12-31,False
-0.018634,0.101671,-0.272281,0.317498,0.579365,253,E4-vzt070-REF,1993,1993-01-04,1993-12-31,False
-0.087816,-0.102803,-0.336428,0.337489,0.505976,252,E4-vzt070-REF,1994,1994-01-03,1994-12-30,False
1.645587,3.036543,-0.150856,0.341401,0.613546,252,E4-vzt070-REF,1995,1995-01-03,1995-12-29,False
0.494475,1.126171,-0.303188,0.446753,0.577075,254,E4-vzt070-REF,1996,1996-01-02,1996-12-31,False
0.630642,1.812054,-0.216519,0.295182,0.563492,253,E4-vzt070-REF,1997,1997-01-02,1997-12-31,False
0.915861,1.882221,-0.253638,0.386734,0.557769,252,E4-vzt070-REF,1998,1998-01-02,1998-12-31,False
0.810678,1.934911,-0.251689,0.337872,0.549801,252,E4-vzt070-REF,1999,1999-01-04,1999-12-31,False
-0.099156,-0.366870,-0.198396,0.216599,0.513944,252,E4-vzt070-REF,2000,2000-01-03,2000-12-29,False
-0.069786,-0.330798,-0.131541,0.174088,0.485830,248,E4-vzt070-REF,2001,2001-01-02,2001-12-31,False
0.146061,1.006691,-0.107109,0.146637,0.553785,252,E4-vzt070-REF,2002,2002-01-02,2002-12-31,False
1.178693,1.838941,-0.236338,0.491388,0.517928,252,E4-vzt070-REF,2003,2003-01-02,2003-12-31,False
0.148363,0.552953,-0.397710,0.384932,0.553785,252,E4-vzt070-REF,2004,2004-01-02,2004-12-31,False
-0.139578,-0.137696,-0.392687,0.428282,0.521912,252,E4-vzt070-REF,2005,2005-01-03,2005-12-30,False
0.519539,1.248739,-0.212621,0.401236,0.568000,251,E4-vzt070-REF,2006,2006-01-03,2006-12-29,False
0.281667,0.836114,-0.233471,0.392383,0.600000,251,E4-vzt070-REF,2007,2007-01-03,2007-12-31,False
0.212688,0.994189,-0.172442,0.218783,0.531746,253,E4-vzt070-REF,2008,2008-01-02,2008-12-31,False
0.527636,1.243160,-0.191264,0.410822,0.557769,252,E4-vzt070-REF,2009,2009-01-02,2009-12-31,False
1.072170,1.740683,-0.242597,0.489750,0.621514,252,E4-vzt070-REF,2010,2010-01-04,2010-12-31,False
-0.051437,0.039402,-0.269532,0.365717,0.549801,252,E4-vzt070-REF,2011,2011-01-03,2011-12-30,False
0.396494,1.071566,-0.293123,0.379797,0.493976,250,E4-vzt070-REF,2012,2012-01-03,2012-12-31,False
0.360927,0.952999,-0.191318,0.416908,0.521912,252,E4-vzt070-REF,2013,2013-01-02,2013-12-31,False
0.137689,0.593497,-0.159278,0.288875,0.549801,252,E4-vzt070-REF,2014,2014-01-02,2014-12-31,False
-0.322837,-0.934924,-0.405574,0.351776,0.462151,252,E4-vzt070-REF,2015,2015-01-02,2015-12-31,False
-0.079103,0.121769,-0.384227,0.535203,0.545817,252,E4-vzt070-REF,2016,2016-01-04,2016-12-30,False
0.957250,2.059801,-0.201170,0.359442,0.596000,251,E4-vzt070-REF,2017,2017-01-03,2017-12-29,False
-0.083371,-0.014881,-0.372551,0.397521,0.548000,251,E4-vzt070-REF,2018,2018-01-02,2018-12-31,False
0.659950,1.313241,-0.337976,0.475823,0.561753,252,E4-vzt070-REF,2019,2019-01-02,2019-12-31,False
0.808450,1.779036,-0.228585,0.374766,0.583333,253,E4-vzt070-REF,2020,2020-01-02,2020-12-31,False
0.304515,0.990838,-0.228179,0.321279,0.525896,252,E4-vzt070-REF,2021,2021-01-04,2021-12-31,False
-0.260227,-1.618825,-0.327034,0.177211,0.464000,251,E4-vzt070-REF,2022,2022-01-03,2022-12-30,False
0.993860,1.563475,-0.395662,0.534726,0.546185,250,E4-vzt070-REF,2023,2023-01-03,2023-12-29,False
0.585440,1.120436,-0.271272,0.553892,0.565737,252,E4-vzt070-REF,2024,2024-01-02,2024-12-31,False
0.548899,1.265226,-0.232208,0.416086,0.570281,250,E4-vzt070-REF,2025,2025-01-02,2025-12-31,False
-0.293157,-0.855881,-0.175332,0.344213,0.438596,58,E4-vzt070-REF,2026,2026-01-02,2026-03-26,True
